"userId","movieId","rating"
149,2,5
149,3,3
149,5,3
149,7,2
149,9,4
149,10,4
149,11,4
149,12,4
149,13,4
149,14,3
149,16,5
149,18,4
149,20,5
149,21,4
969,5,5
969,14,3
969,15,1
969,16,1
969,21,2
589,1,4
589,2,5
589,3,5
589,4,4
589,5,3
589,6,3
589,7,2
589,8,4
589,9,5
589,10,5
589,11,3
589,12,5
589,13,4
589,14,4
589,15,1
589,16,3
589,17,4
589,18,4
589,19,5
589,20,5
589,21,5
202,1,3
202,2,3
202,3,5
202,4,3
202,5,4
202,7,5
202,8,5
202,11,3
202,14,4
202,15,1
202,20,4
567,2,5
567,3,3
567,5,3
567,7,5
567,8,3
567,12,5
567,15,1
567,16,1
567,17,1
567,19,1
567,20,5
567,21,2
382,1,4
382,2,3
382,3,5
382,4,4
382,5,4
382,6,4
382,7,3
382,8,4
382,11,4
382,12,3
382,13,3
382,14,4
382,15,1
382,18,4
382,19,3
382,20,5
714,1,5
714,3,4
714,5,5
714,6,4
714,7,2
714,13,3
714,15,5
714,16,1
714,18,5
714,21,3
168,1,5
168,3,4
168,4,3
168,5,5
168,6,5
168,8,2
168,11,1
168,13,3
168,15,5
168,16,5
168,19,3
168,20,5
607,2,5
607,3,5
607,5,5
607,6,3
607,7,4
607,8,4
607,11,3
607,12,5
607,13,3
607,14,5
607,15,2
607,16,4
607,19,4
607,20,5
607,21,5
550,1,3
550,3,4
550,4,4
550,5,4
550,8,4
550,11,3
550,15,4
550,19,4
550,20,4
227,2,5
227,3,4
227,7,5
227,8,4
227,11,1
227,12,5
227,14,3
227,15,1
227,20,5
227,21,5
200,2,5
200,3,4
200,5,5
200,7,2
200,8,3
200,10,3
200,11,4
200,12,5
200,14,2
200,15,1
200,16,1
200,20,5
200,21,5
44,1,5
44,2,4
44,3,5
44,4,4
44,5,4
44,7,3
44,9,5
44,12,4
44,20,5
427,3,4
427,5,3
427,7,3
427,8,4
427,12,4
427,14,4
427,15,4
427,20,4
427,21,5
203,5,4
203,7,5
203,8,5
203,15,5
203,18,5
203,19,5
203,21,4
322,5,4
322,7,4
322,8,4
322,12,5
322,15,3
839,1,4
839,3,5
839,5,3
839,6,3
839,7,3
839,8,5
839,11,5
839,14,5
839,16,3
40,1,5
40,3,3
40,5,5
40,7,5
40,8,3
40,12,5
40,14,4
40,15,1
40,16,4
40,19,4
40,20,5
31,3,3
31,5,5
31,7,5
31,8,5
31,15,5
31,21,5
912,2,5
912,3,5
912,4,3
912,5,5
912,6,4
912,7,4
912,8,5
912,9,4
912,10,4
912,11,5
912,12,5
912,13,5
912,14,4
912,15,1
912,16,1
912,17,1
912,18,2
912,19,4
912,20,3
912,21,4
269,2,3
269,3,5
269,4,4
269,5,5
269,7,5
269,10,5
269,11,5
269,13,3
269,15,4
269,16,4
269,17,3
269,20,4
269,21,4
777,1,4
777,2,5
777,3,5
777,4,5
777,7,5
777,8,5
777,10,4
777,11,4
777,14,4
777,15,4
777,16,4
777,17,4
777,19,5
625,1,4
625,2,4
625,5,3
625,7,5
625,8,4
625,13,3
625,15,2
625,17,3
371,2,5
371,5,5
371,7,3
371,8,5
371,10,4
371,13,5
371,18,5
371,20,5
371,21,5
307,1,4
307,2,5
307,7,3
307,8,4
307,9,5
307,11,3
307,12,5
307,14,4
307,15,2
307,16,4
307,20,5
460,1,5
460,3,5
460,5,5
460,7,5
460,8,5
460,11,4
460,14,3
460,15,3
460,16,4
460,19,4
460,21,3
922,1,5
922,3,5
922,4,2
922,5,5
922,6,4
922,8,4
922,11,4
922,16,3
240,1,4
240,2,4
240,3,5
240,5,5
240,8,5
240,15,5
240,16,5
323,1,1
323,3,5
323,4,1
323,5,5
323,6,1
323,7,4
323,8,1
323,10,3
323,11,4
323,12,1
323,13,5
323,14,5
323,15,1
